type produit;numero AMM;nom produit;type culture libelle;dose min par apport;dose min par apport unite;dose max par apport;dose max par apport unite;stade cultural min (BBCH);stade cultural max (BBCH);etat usage;saison application min;saison application max;saison application min commentaire;saison application max commentaire; date decision;culture commentaire;
MFSC;1150022;ALTERNAZOTE;Autres;2.0;L/ha;2.0;L/ha;;;Autorisé;;;Tallage à début floraison (simultanément à la fertilisation azotée) ;Tallage à début floraison (simultanément à la fertilisation azotée) ;17/02/2016;Blé et céréales à pailles;
MFSC;1170247;NITROGEN GR;Grandes cultures;10.4;kg/ha;10.4;kg/ha;;;Autorisé;;;semis;semis;12/07/2017;Nombre maximum de germes par hectare : 4E11 * soit une dose maximale correspondante d'inoculum bactérien de 0,4 kg/ha et une dose maximale correspondante de support granulé (sépiolite) de 10 kg/ha ;
MFSC;1170248;NITROGEN;Grandes cultures;0.4;kg/ha;0.4;kg/ha;;;Autorisé;;;Semis;Semis;12/07/2017;;
MFSC;1160067;NUTRISTAR 22-5 SELEN;Grandes cultures;275.0;kg/ha;275.0;kg/ha;;;Autorisé;;;Respecter les bonnes pratiques de fertilisation   ;Respecter les bonnes pratiques de fertilisation   ;19/10/2016;Blé Fractionnement possible de la dose annuelle en 2 apports;
MFSC;1160067;NUTRISTAR 22-5 SELEN;Grandes cultures;500.0;kg/ha;500.0;kg/ha;;;Autorisé;Mai;Mai;Stade levée;Stade levée;19/10/2016;Maïs ensilage;
MFSC;1160067;NUTRISTAR 22-5 SELEN;Autres;250.0;kg/ha;250.0;kg/ha;;;Autorisé;Avril;Mai;stade montaison;stade montaison;19/10/2016;Prairie Mixte;
MFSC;1160067;NUTRISTAR 22-5 SELEN;Autres;350.0;kg/ha;350.0;kg/ha;;;Autorisé;Avril;Juin;stade montaison;stade montaison;19/10/2016;Prairie fauchée Fractionnement possible de la dose annuelle en 2 apports;
MFSC;1160067;NUTRISTAR 22-5 SELEN;Autres;300.0;kg/ha;300.0;kg/ha;;;Autorisé;Avril;Avril;stade montaison;stade montaison;19/10/2016;Prairie paturée;
MFSC;6070002;OXYOM;Autres;5.0;t/ha;5.0;t/ha;;;Retrait;;;;;10/03/2016;Entretien du pH au sol. 1 apport tous les 3 ans.;
MFSC;6070002;OXYOM;Autres;10.0;t/ha;10.0;t/ha;;;Retrait;;;;;10/03/2016;Redressement du pH au sol. 1 apport tous les 3 ans.;
MFSC;1150019;PREMIER TECH-GHA180;Cultures ornementales;6.0;L/ha;12.0;L/ha;;;Autorisé;A la plantation;A la plantation;;;10/03/2016;Fleurs et plantes ornementales. Au semis ou à la transplantation ;
MFSC;1150019;PREMIER TECH-GHA180;Cultures légumières;6.0;L/ha;12.0;L/ha;;;Autorisé;A la plantation;A la plantation;;;10/03/2016;Légumes à fruit : Tomate aubergine, cerise de terre et poivrons. Légume-feuille : Laitue, roquette, épinard, cresson, etc.  Cucurbitacées : Concombre, cantaloup, melon, courge, melon d'eau et citrouille Les choux : Brocoli, chou de Bruxelles, chou, chou-fleur, etc. Légumes bulbes : incluant Oignon, poireaux et échalotes. Au semis ou à la transplantation ;
MFSC;1150019;PREMIER TECH-GHA180;Arboriculture fruitière et vigne;6.0;L/ha;12.0;L/ha;;;Autorisé;A la plantation;A la plantation;;;10/03/2016;Petits fruits :  Mûre framboise et fraise Au semis ou à la transplantation ;
MFSC;1150019;PREMIER TECH-GHA180;Cultures légumières;6.0;L/ha;12.0;L/ha;;;Autorisé;A la plantation;A la plantation;;;10/03/2016;Légumineuses : Haricots, gourgane, féverole, pois chiche, etc. A la plantation ou immédiatement après la plantation, mais avant l'émergence ;
MFSC;1170689;SUPPORTER;Grandes cultures;30.0;mL/unité;30.0;mL/unité;;;Autorisé;;;;;28/12/2017;Maïs Traitement de semences Dose : 30 mL/unité de semences (sur la base d'une unité de semences égale à 80 000 graines) Ne pas apporter plus de 30 mL du produit SUPPORTER /ha ;
MFSC;1150017;SORBISTART;Grandes cultures;50.0;kg/ha;100.0;kg/ha;;;Autorisé;;;;;01/02/2016;Maïs : Pré-semis. Nombre de germes par hectare : 5E10 - 1E11;
MFSC;1150017;SORBISTART;Autres;50.0;kg/ha;100.0;kg/ha;;;Autorisé;;;;;01/02/2016;Légumineuses (soja) : Pré-semis Nombre de germes par hectare : 5E10 - 1E11;
