Nom du produit;N° Permis;Etat d’autorisation;Détenteur PCP;Produit de référence français;N° AMM de référence français;Nom du produit importé;N° AMM du produit importé;Etat Membre d'origine;Mentions d'étiquetage;
CAZAFURON;2100023;AUTORISE;M. CAZORLA S.L;KATANA 25 WG;9700070;TERAFIT;AMM n° 21990;Espagne;Selon le produit de référence français;
CAZAFURON;2100023;AUTORISE;M. CAZORLA S.L;KATANA 25 WG;9700070;CHIKARA 25 WG;AMM n° 10929;Italie;Selon le produit de référence français;
RACIFURONE TF;2150766;AUTORISE;M. CAZORLA S.L;RACING TF;2100069;RACING TF;AMM n° 25.644;Espagne;Selon le produit de référence français;
FLEXITOP;2150751;AUTORISE;TOP SAS;FLEXITY;2060051;FLEXITY;AMM n° 0311F/07;Lituanie;Selon le produit de référence français;
IMPRO LT;2150753;AUTORISE;GRITCHE;PROPULSE;2130202;PROPULSE;AMM n° AS2-38F/2015;Lituanie;Selon le produit de référence français;
PROTHIONALE;2150903;AUTORISE;M. CAZORLA S.L;JOAO;2060116;PROLINE;AMM n° 13385;Italie;Selon le produit de référence français;
BANDY;2010454;RETIRE;SAGA SAS;AGIL;8800199;FALCON;AMM n° 14552;Royaume-Uni;Selon le produit de référence français;
CAREMBETO;2150901;AUTORISE;M. CAZORLA S.L;CARAMBA STAR;2010280;CARAMBA;AMM n° 14101;Italie;Selon le produit de référence français;
PULCO;2150267;AUTORISE;GRITCHE;PICTOR PRO;2050075;CANTUS;AMM n° 12862;Italie;Selon le produit de référence français;
PULCO;2150267;AUTORISE;GRITCHE;PICTOR PRO;2050075;FILAN WG;AMM n° 15344;Italie;Selon le produit de référence français;
CAMBATEC S;2080131;RETIRE;CERA CHEM S.A.R.L.;DICAVEL 480;2040338;DICAVEL 480;AMM n° 14063;Royaume-Uni;Selon le produit de référence français;
RISSAR;2110183;RETIRE;RIVALE;HUSSAR OF;9900203;HUSSAR OF;AMM n° 11061;Italie;Selon le produit de référence français;
INTER CISTO;2150268;AUTORISE;ITICON;CALLISTO;9900047;CALLISTO;AMM n° 12204;Pays-Bas;Selon le produit de référence français;
CATAMAX;2150750;AUTORISE;TOP SAS;NOVALL GOLD;2120075;BUTISAN STAR MAX 500 SE;AMM n° R-97/2012;Pologne;Selon le produit de référence français;
CATAMAX;2150750;AUTORISE;TOP SAS;NOVALL GOLD;2120075;BUTISAN GOLD;AMM n° 0067690-00;Allemagne;Selon le produit de référence français;
MEZONIK;2160131;AUTORISE;SANOMESSIS S.R.L;ELUMIS;2100111;ELUMIS OD;AMM n° 01151/25.10.2013;Bulgarie;Selon le produit de référence français;
MELYA MG;2150302;AUTORISE;SAGA SAS;BELEM 0,8 MG;2090050;BELEM 0.8 MG;AMM n° 14974;Italie;Selon le produit de référence français;
NEO PRO 1 %;2000270;RETIRE;TOP SAS;POLDER 1%;2000099;AGRICHEM KIEMREMMER 1%;AMM n° 11003N;Pays-Bas;Selon le produit de référence français;
NEO PRO 1 %;2000270;RETIRE;TOP SAS;POLDER 1%;2000099;AGRICHIM KIEMREMMER;AMM n° 7069/B;Belgique;Selon le produit de référence français;
METALID;2150046;AUTORISE;TOP SAS;EFILOR;2120206;EFILOR;AMM n° 19-203;Danemark;Selon le produit de référence français;
METALID;2150046;AUTORISE;TOP SAS;EFILOR;2120206;EFILOR;AMM n° 0420F/12;Lituanie;Selon le produit de référence français;
FIXY;2150752;AUTORISE;TOP SAS;ROXY 800 EC;2090186;ROXY EC;AMM n° 613-1;Danemark;Selon le produit de référence français;
CURZOL;2100107;AUTORISE;TOP SAS;TEBUCUR 250;2030255;TEBUCUR;AMM n° L01742-126;Luxembourg;Selon le produit de référence français;
BREVALES;2150642;AUTORISE;M. CAZORLA S.L;BREVIS;2150002;BREVIS;AMM n° 16084;Italie;Selon le produit de référence français;
